ID,Incident Date,District,Bias Code,Bias Code_2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects < 18 of age,# Suspects 18-35 of age,# Suspects 36-45 of age,# Suspects 46-55 of age,# Suspects > 55 of age,Suspect Known/Unknown
170537609,10/19/2017,6D,Anti-Black,,Assault (physical),Open,1,Individual(s),1,,1,,,,Known
180036689,7/24/2018,5D,Anti-Black,,Vandalism,Open,3,Individual(s),,,,,,,Unknown
200012238,3/12/2020,4D,Anti-Jewish,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
16035647,7/15/2016,2D,Anti-Black,,Assault (physical),Open,1,Individual(s),1,,,,1,,Known
200012130,3/11/2020,4D,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Exception,1,Individual(s),3,,,,,,Unknown
170522344,8/1/2017,1D,Anti-Black,,Written Intimidation/Simple Assault,Inactive,1,Individual(s),,,,,,,Unknown
180062118,12/11/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,Religious Organization,,,,,,,Unknown
180051193,10/12/2018,GCPD,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Arrest,1,Individual(s),1,,,1,,,Known
200019091,5/11/2020,4D,Anti-Black,,Assault (simple),Open,1,Individual(s),1,,,,,1,Known
180014425,3/23/2018,4D,Anti-Jewish,,Verbal Intimidation/Simple Assault,N/A,,Religious Organization,,,,,,,Unknown
180051896,10/16/2018,2D,Anti-Homosexual,,Written Intimidation/Simple Assault,Open,2,Individual(s),1,,1,,,,Known
190006264,2/7/2019,1D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
180055941,11/7/2018,2D,Anti-Homosexual,,Assault (physical),Open,1,Individual(s),,,,,,,Unknown
200019612,5/14/2020,4D,Anti-Homosexual,,Written Intimidation/Simple Assault,Open,1,Individual(s),4,,,,,,Unknown
190017752,4/16/2019,2D,Anti-Black,,Written Intimidation/Simple Assault,N/A,,School/College,4,4,,,,,Known
16033056,6/29/2016,5D,Anti-Hispanic,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
190048433,10/9/2019,4D,Anti-Black,,Vandalism,Open,,Society,,,,,,,Unknown
180028849,6/11/2018,5D,Anti-White,,Assault (physical),Closed-Arrest,1,Individual(s),1,1,,,,,Known
200012538,3/14/2020,2D,Anti-Hispanic,,Assault (physical),Open,1,Individual(s),3,,,,,,Unknown
190010787,3/6/2019,1D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Known
17008045,2/14/2017,RCPD,Anti-Black,,Vandalism,Open,,School/College,,,,,,,Unknown
17015593,3/21/2017,RCPD,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
17001593,1/9/2017,2D,Anti-Jewish,,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),,,,,,,Unknown
190042835,9/7/2019,2D,Anti-Black,,Assault (physical),Open,1,Individual(s),2,,,1,,1,Known
180012810,3/14/2018,2D,Anti-Multi-Racial,Anti-Multi-Religious Group,Written Intimidation/Simple Assault,Closed-Exception,,Other,1,,,,1,,Known
170548562,12/14/2017,1D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
17012040,3/2/2017,1D,Anti-Jewish,,Written Intimidation/Simple Assault,UNF,1,Individual(s),,,,,,,Unknown
200000046,1/1/2020,3D,Anti-White,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),3,,,,,,Unknown
190053319,11/5/2019,RCPD,Anti-Jewish,,Other,Open,,Society,1,,,,,,Unknown
16018453,4/15/2016,6D,Anti-Jewish,,Vandalism,Closed-Arrest,,Other,2,1,1,,,,Known
17010896,3/1/2017,1D,Anti-Transgender,,Assault (physical),UNF,1,Individual(s),,,,,,,Unknown
16007397,2/16/2016,3D,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Arrest,1,Individual(s),1,,,1,,,Known
180003605,1/22/2018,RCPD,Anti-Jewish,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
180060752,12/5/2018,4D,Anti-Jewish,Anti-Homosexual,Vandalism,Open,1,School/College,,,,,,,Unknown
16000094,1/1/2016,1D,Anti-Jewish,,Vandalism,Inactive,,Government,,,,,,,Unknown
190031014,6/29/2019,4D,Anti-Other Religion,,Vandalism,Open,,Religious Organization,,,,,,,Unknown
200021967,6/3/2020,6D,Anti-White,,Assault (physical),Open,1,Individual(s),1,,,,,,Unknown
200017148,4/24/2020,4D,Anti-Catholic,,Vandalism,Open,,Religious Organization,,,,,,,Unknown
16031785,6/23/2016,5D,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Arrest,1,Individual(s),1,,,1,,,Known
200006186,2/6/2020,2D,Anti-Jewish,,Written Intimidation/Simple Assault,N/A,,School/College,,,,,,,Unknown
190022287,5/11/2019,2D,Anti-Jewish,,Vandalism,Open,,Other,,,,,,,Unknown
170512062,6/6/2017,6D,Anti-Black,,Vandalism,Closed-Admin,,Society,,,,,,,Unknown
16056997,11/3/2016,2D,Anti-Jewish,,Vandalism,Closed-Exception,,School/College,,,,,,,Unknown
170524265,8/11/2017,1D,Anti-Jewish,,Vandalism,Open,,Government,,,,,,,Unknown
170519264,7/15/2017,2D,Anti-Homosexual,,Other,Open,,Religious Organization,,,,,,,Unknown
190027831,6/11/2019,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Known
170508274,5/17/2017,5D,Anti-Black,,Other,N/A,,Society,,,,,,,Unknown
16059407,11/17/2016,4D,Anti-Multi-Racial,,Vandalism,Closed-Exception,,School/College,,,,,,,Unknown
170542741,11/13/2017,1D,Anti-Multi-Religious Group,,Other,UNF,1,Individual(s),1,1,,,,,Known
190037812,8/8/2019,5D,Anti-White,,Assault (physical),Closed-Admin,1,Individual(s),1,,1,,,,Known
190049612,9/5/2019,3D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
16028599,6/7/2016,5D,Anti-Islamic,,Assault (physical),UNF,1,Individual(s),1,,,,,,Unknown
180058409,11/21/2018,2D,Anti-Black,,Written Intimidation/Simple Assault,N/A,,Religious Organization,,,,,,,Unknown
170538425,10/24/2017,2D,Anti-Asian,,Physical Intimidation/Simple Assault,RTOJ,1,Individual(s),1,1,,,,,Known
16065398,12/21/2016,2D,Anti-Jewish,,Vandalism,N/A,,School/College,4,4,,,,,Known
190007372,2/13/2019,5D,Anti-Jewish,,Written Intimidation/Simple Assault,N/A,,School/College,1,1,,,,,Known
200015360,4/8/2020,4D,Anti-Catholic,,Arson,Closed-Arrest,,Religious Organization,2,,2,,,,Known
190045257,9/21/2019,2D,Anti-Jewish,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
190046803,9/29/2019,2D,Anti-Homosexual,,Vandalism,Open,2,Individual(s),2,2,,,,,Known
16064150,12/14/2016,6D,Anti-Multi-Racial,,Vandalism,Inactive,,Other,,,,,,,Unknown
16058679,11/10/2016,3D,Anti-Black,,Vandalism,UNF,,School/College,,,,,,,Unknown
190039589,8/19/2019,1D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,2,Individual(s),,,,,,,Unknown
16044286,8/30/2016,4D,Anti-Black,,Assault (physical),Closed-Arrest,1,Individual(s),1,,,1,,,Known
180005117,1/30/2018,4D,Anti-Transgender,,Verbal Intimidation/Simple Assault,Closed-Admin,2,Individual(s),1,1,,,,,Known
180023349,5/12/2018,4D,Anti-Jewish,,Vandalism,Inactive,,Society,,,,,,,Unknown
17010515,2/27/2017,RCPD,Anti-White,,Vandalism,Inactive,,Society,,,,,,,Unknown
16025158,5/20/2016,5D,Anti-Hispanic,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,1,,,,Known
190016987,4/11/2019,RCPD,Anti-Black,,Written Intimidation/Simple Assault,N/A,,Society,,,,,,,Unknown
190038334,8/11/2019,6D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Known
16065937,12/20/2016,5D,Anti-Other Ethnicity,,Other,N/A,1,Individual(s),,,,,,,Unknown
200014285,3/28/2020,RCPD,Anti-Jewish,,Vandalism,Closed-Arrest,,Religious Organization,1,,1,,,,Known
180007406,2/12/2018,2D,Anti-Homosexual,,Assault (physical),Closed-Exception,1,Individual(s),1,1,,,,,Known
190011995,3/15/2019,4D,Anti-Black,,Vandalism,Open,,Government,,,,,,,Unknown
200011351,3/7/2020,2D,Anti-Hispanic,,Assault (physical),Open,2,Individual(s),1,,1,,,,Known
190024312,5/22/2019,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
200022388,6/7/2020,5D,Anti-Jewish,,Vandalism,Open,,Society,,,,,,,Unknown
170513456,6/12/2017,2D,Anti-White,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,1,,,,,Known
180062235,12/13/2018,4D,Anti-Homosexual,,Written Intimidation/Simple Assault,Closed-Exception,1,Individual(s),3,2,1,,,,Known
190060496,12/15/2019,2D,Anti-Transgender,,Assault (physical),Open,1,Individual(s),1,,,,,1,Known
16035615,7/14/2016,2D,Anti-Black,,Other,Inactive,,Religious Organization,,,,,,,Unknown
170546720,12/4/2017,4D,Anti-Jewish,,Vandalism,Closed-Admin,,School/College,1,1,,,,,Known
190025730,5/30/2019,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
17006589,2/7/2017,RCPD,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
170515518,6/24/2017,4D,Anti-Homosexual,,Vandalism,Inactive,1,Individual(s),,,,,,,Unknown
